OriginalTraitName,OriginalTraitValue,Location,Latitude,Longitude,Consumer,ConCommon,ConGenus,ConSpecies,ConSize,ConSizeUnit,ConSizeType,ConSizeSI,ConSizeUnitSI,CitationID,Citation,DOI,FigureTable
Egg number,4079.1738,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,3.6042945,kg,weight,3.6042945,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1084.3374,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.3312883,kg,weight,1.3312883,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1170.3959,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.3680981,kg,weight,1.3680981,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1170.3959,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.48773,kg,weight,1.48773,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1032.7023,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.5981596,kg,weight,1.5981596,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1170.3959,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.6993865,kg,weight,1.6993865,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1256.4543,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.6165644,kg,weight,1.6165644,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1428.5714,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.48773,kg,weight,1.48773,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1480.2065,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.4509202,kg,weight,1.4509202,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1428.5714,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.3865031,kg,weight,1.3865031,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
