IndividualID,OriginalID,FinalID,OriginalTraitName,OriginalTraitDef,StandardisedTraitName,StandardisedTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,StandardisedTraitValue,StandardisedTraitUnit,StandardisedErrorPos,StandardisedErrorNeg,StandardisedErrorUnit,Replicates,Habitat,Labfield,ArenaValue,ArenaUnit,ArenaValueSI,ArenaUnitSI,AmbientTemp,AmbientTempMethod,AmbientTempUnit,AmbientLight,AmbientLightUnit,SecondStressor,SecondStressorDef,SecondStressorValue,SecondStressorUnit,TimeStart,TimeEnd,TotalObsTimeValue,TotalObsTimeUnit,TotalObsTimeValueSI,TotalObsTimeUnitSI,TotalObsTimeNotes,ResRepValue,ResRepUnit,ResRepValueSI,ResRepUnitSI,Climate,Location,LocationType,LocationDate,CoordinateType,Latitude,Longitude,TaxaPresent,Consumer,ConCommon,ConWholePart,ConWholePartType,ConNumber,ConIDLevel,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConStage,ConTemp,ConTempUnit,ConTempMethod,ConGrowthTemp,ConGrowthTempUnit,ConGrowthDur,ConGrowthDurUnit,ConGrowthType,ConAcc,ConAccTemp,ConAccTempNotes,ConAccTime,ConAccTimeNotes,ConAccTimeUnit,ConOrigTemp,ConOrigTempNotes,ConOrigTime,ConOrigTimeNotes,ConOrigTimeUnit,ConEquilibTimeValue,ConEquilibTimeUnit,ConSize,ConSizeUnit,ConSizeType,ConSizeSI,ConSizeUnitSI,ConDenValue,ConDenUnit,ConDenTypeSI,ConDenValueSI,ConDenUnitSI,ConMassValueSI,ConMassUnitSI,Resource,ResCommon,ResIDLevel,ResKingdom,ResPhylum,ResClass,ResOrder,ResFamily,ResGenus,ResSpecies,ResStage,ResTemp,ResTempUnit,ResTempMethod,ResGrowthTemp,ResGrowthTempUnit,ResGrowthDur,ResGrowthDurUnit,ResGrowthType,ResAcc,ResAccTemp,ResAccTempNotes,ResAccTime,ResAccTimeNotes,ResAccTimeUnit,ResOrigTemp,ResOrigTempNotes,ResOrigTime,ResOrigTimeNotes,ResOrigTimeUnit,ResEquilibTimeValue,ResEquilibTimeUnit,ResSize,ResSizeUnit,ResSizeType,ResSizeSI,ResSizeUnitSI,ResDenValue,ResDenUnit,ResDenTypeSI,ResDenValueSI,ResDenUnitSI,ResMassValueSI,ResMassUnitSI,PhysicalProcess,PhysicalProcess_1 ,PhysicalProcess_2,CitationID,Citation,DOI,Published,FigureTable,Notes,SubmittedBy,ContributorEmail,ManualCheck
,OFM1,,Feed intake,,Consumption rate,,6.759942,FI g kg-1 day-1,,,,,,,,,,Freshwater,Lab,1.7,m�,0.35,m�,,,,100,lux,,,,,,,,,,,,,,,,temperate,Laukaa Research  Station  of  the  Finnish  Game  and  Fisheries  Research  Institute ,,1993-06-29,Article,62.5,26,,Salmo Salar,Atlantic Salmon,,whole,,Kingdom,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Age 1+ (post smolt),11,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Koskela, J., Pirhonen, J., & Jobling, M. (1997). Feed intake, growth rate and body composition of juvenile Baltic salmon exposed to different constant temperatures. Aquaculture International, 5, 351�360. ",https://doi.org/10.1023/A:1018316224253,TRUE,Figure 1,Experimental groups were established 4 weeks prior to the start of the experiment and  acclimation  to  the  different  test  temperatures  started  2  weeks  before  the  start of  the  experiment.,Olivia Morris,,
,OFM1,,Feed intake,,Consumption rate,,7.1757855,FI g kg-1 day-1,,,,,,,,,,Freshwater,Lab,1.7,m�,0.35,m�,,,,100,lux,,,,,,,,,,,,,,,,temperate,Laukaa Research  Station  of  the  Finnish  Game  and  Fisheries  Research  Institute ,,1993-06-29,Article,62.5,26,,Salmo Salar,Atlantic Salmon,,whole,,Kingdom,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Age 1+,11,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Koskela, J., Pirhonen, J., & Jobling, M. (1997). Feed intake, growth rate and body composition of juvenile Baltic salmon exposed to different constant temperatures. Aquaculture International, 5, 351�360. ",https://doi.org/10.1023/A:1018316224253,TRUE,Figure 1,,Olivia Morris,,
,OFM1,,Feed intake,,Consumption rate,,7.3143997,FI g kg-1 day-1,,,,,,,,,,Freshwater,Lab,1.7,m�,0.35,m�,,,,100,lux,,,,,,,,,,,,,,,,temperate,Laukaa Research  Station  of  the  Finnish  Game  and  Fisheries  Research  Institute ,,1993-06-29,Article,62.5,26,,Salmo Salar,Atlantic Salmon,,whole,,Kingdom,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Age 1+,11,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Koskela, J., Pirhonen, J., & Jobling, M. (1997). Feed intake, growth rate and body composition of juvenile Baltic salmon exposed to different constant temperatures. Aquaculture International, 5, 351�360. ",https://doi.org/10.1023/A:1018316224253,TRUE,Figure 1,,Olivia Morris,,
,OFM1,,Feed intake,,Consumption rate,,9.853857,FI g kg-1 day-1,,,,,,,,,,Freshwater,Lab,1.7,m�,0.35,m�,,,,100,lux,,,,,,,,,,,,,,,,temperate,Laukaa Research  Station  of  the  Finnish  Game  and  Fisheries  Research  Institute ,,1993-06-29,Article,62.5,26,,Salmo Salar,Atlantic Salmon,,whole,,Kingdom,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Age 1+,15,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Koskela, J., Pirhonen, J., & Jobling, M. (1997). Feed intake, growth rate and body composition of juvenile Baltic salmon exposed to different constant temperatures. Aquaculture International, 5, 351�360. ",https://doi.org/10.1023/A:1018316224253,TRUE,Figure 1,,Olivia Morris,,
,OFM1,,Feed intake,,Consumption rate,,10.235047,FI g kg-1 day-1,,,,,,,,,,Freshwater,Lab,1.7,m�,0.35,m�,,,,100,lux,,,,,,,,,,,,,,,,temperate,Laukaa Research  Station  of  the  Finnish  Game  and  Fisheries  Research  Institute ,,1993-06-29,Article,62.5,26,,Salmo Salar,Atlantic Salmon,,whole,,Kingdom,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Age 1+,15,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Koskela, J., Pirhonen, J., & Jobling, M. (1997). Feed intake, growth rate and body composition of juvenile Baltic salmon exposed to different constant temperatures. Aquaculture International, 5, 351�360. ",https://doi.org/10.1023/A:1018316224253,TRUE,Figure 1,,Olivia Morris,,
,OFM1,,Feed intake,,Consumption rate,,10.339007,FI g kg-1 day-1,,,,,,,,,,Freshwater,Lab,1.7,m�,0.35,m�,,,,100,lux,,,,,,,,,,,,,,,,temperate,Laukaa Research  Station  of  the  Finnish  Game  and  Fisheries  Research  Institute ,,1993-06-29,Article,62.5,26,,Salmo Salar,Atlantic Salmon,,whole,,Kingdom,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Age 1+,15,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Koskela, J., Pirhonen, J., & Jobling, M. (1997). Feed intake, growth rate and body composition of juvenile Baltic salmon exposed to different constant temperatures. Aquaculture International, 5, 351�360. ",https://doi.org/10.1023/A:1018316224253,TRUE,Figure 1,,Olivia Morris,,
,OFM1,,Feed intake,,Consumption rate,,10.933088,FI g kg-1 day-1,,,,,,,,,,Freshwater,Lab,1.7,m�,0.35,m�,,,,100,lux,,,,,,,,,,,,,,,,temperate,Laukaa Research  Station  of  the  Finnish  Game  and  Fisheries  Research  Institute ,,1993-06-29,Article,62.5,26,,Salmo Salar,Atlantic Salmon,,whole,,Kingdom,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Age 1+,17,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Koskela, J., Pirhonen, J., & Jobling, M. (1997). Feed intake, growth rate and body composition of juvenile Baltic salmon exposed to different constant temperatures. Aquaculture International, 5, 351�360. ",https://doi.org/10.1023/A:1018316224253,TRUE,Figure 1,,Olivia Morris,,
,OFM1,,Feed intake,,Consumption rate,,11.037049,FI g kg-1 day-1,,,,,,,,,,Freshwater,Lab,1.7,m�,0.35,m�,,,,100,lux,,,,,,,,,,,,,,,,temperate,Laukaa Research  Station  of  the  Finnish  Game  and  Fisheries  Research  Institute ,,1993-06-29,Article,62.5,26,,Salmo Salar,Atlantic Salmon,,whole,,Kingdom,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Age 1+,17,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Koskela, J., Pirhonen, J., & Jobling, M. (1997). Feed intake, growth rate and body composition of juvenile Baltic salmon exposed to different constant temperatures. Aquaculture International, 5, 351�360. ",https://doi.org/10.1023/A:1018316224253,TRUE,Figure 1,,Olivia Morris,,
,OFM1,,Feed intake,,Consumption rate,,9.759769,FI g kg-1 day-1,,,,,,,,,,Freshwater,Lab,1.7,m�,0.35,m�,,,,100,lux,,,,,,,,,,,,,,,,temperate,Laukaa Research  Station  of  the  Finnish  Game  and  Fisheries  Research  Institute ,,1993-06-29,Article,62.5,26,,Salmo Salar,Atlantic Salmon,,whole,,Kingdom,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Age 1+,19,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Koskela, J., Pirhonen, J., & Jobling, M. (1997). Feed intake, growth rate and body composition of juvenile Baltic salmon exposed to different constant temperatures. Aquaculture International, 5, 351�360. ",https://doi.org/10.1023/A:1018316224253,TRUE,Figure 1,,Olivia Morris,,
,OFM1,,Feed intake,,Consumption rate,,9.794423,FI g kg-1 day-1,,,,,,,,,,Freshwater,Lab,1.7,m�,0.35,m�,,,,100,lux,,,,,,,,,,,,,,,,temperate,Laukaa Research  Station  of  the  Finnish  Game  and  Fisheries  Research  Institute ,,1993-06-29,Article,62.5,26,,Salmo Salar,Atlantic Salmon,,whole,,Kingdom,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Age 1+,19,celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Koskela, J., Pirhonen, J., & Jobling, M. (1997). Feed intake, growth rate and body composition of juvenile Baltic salmon exposed to different constant temperatures. Aquaculture International, 5, 351�360. ",https://doi.org/10.1023/A:1018316224253,TRUE,Figure 1,,Olivia Morris,,
